benchmark,problem size,block size,partition mode,kernel iteration,input conversion,kernel execution,output conversion,total time,kernel speedup,total speedup,RMSE%,error rate,error percentage,SSIM,PNSR
mean_2d,4096,2048,cgt_s,100,345.217,94.067,395.926,835.209,1.51969,0.594493,0.00917148,0.00170513,0.185769,0.999697,67.8241,
mean_2d,4096,2048,cg_s,100,314.694,80.7479,421.142,816.585,1.76825,0.606781,0.00124915,3.13234e-05,0.000896811,0.999994,85.1406,
mean_2d,4096,2048,gt_s,100,432.287,177.588,385.628,995.504,0.884732,0.513332,0.0117722,0.0031463,0.347374,0.999517,65.6557,
mean_2d,4096,2048,ct_s,100,240.32,178.356,352.61,771.286,0.805921,0.643866,0.0117722,0.0031463,0.347374,0.999517,65.6557,
mean_2d,4096,2048,cgt_b,100,85.9452,89.909,406.732,582.586,1.59269,0.850617,0.00917148,0.00170513,0.185769,0.999697,67.8241,
mean_2d,4096,2048,cg_b,100,85.9905,86.8222,434.317,607.13,1.6448,0.815235,0.00124915,3.13234e-05,0.000896811,0.999994,85.1406,
mean_2d,4096,2048,gt_b,100,86.1848,112.185,405.743,604.113,1.27724,0.820309,0.00761694,0.00147394,0.161975,0.999792,69.4373,
mean_2d,4096,2048,ct_b,100,85.7872,108.468,376.535,570.79,1.32192,0.868319,0.00761694,0.00147394,0.161975,0.999792,69.4373,
mean_2d,8192,512,cpu,100,120.581,618.851,1421.97,2161.4,1.00095,0.935058,0,0,0,1,inf,
mean_2d,8192,512,gpu,100,702.717,423.281,1475.02,2601.02,1.45689,0.775604,0,0,0,1,inf,
mean_2d,8192,512,cgt_s,100,1659.4,452.243,1925.56,4037.2,1.41724,0.505621,0.0189816,0.00297905,0.237284,0.998729,61.5061,
mean_2d,8192,512,cg_s,100,1007.36,595.06,2079.79,3682.21,1.03039,0.546808,0.00435809,0.00027947,0.00601417,0.999932,74.2869,
mean_2d,8192,512,gt_s,100,1816.48,775.556,1839.88,4431.91,0.789607,0.454206,0.0231609,0.00434243,0.353175,0.998125,59.7777,
mean_2d,8192,512,ct_s,100,1856.51,792.58,1700.72,4349.81,0.774871,0.464088,0.0231609,0.00434243,0.353175,0.998125,59.7777,
mean_2d,8192,512,cgt_b,100,511.199,306.356,1906.22,2723.78,2.03431,0.744527,0.0160259,0.00216491,0.167621,0.999089,62.9764,
mean_2d,8192,512,cg_b,100,511.317,402.939,2042.34,2956.6,1.51191,0.679961,0.00435809,0.00027947,0.00601417,0.999932,74.2869,
mean_2d,8192,512,gt_b,100,507.375,780.273,1809.45,3097.1,0.883192,0.674741,0.0231803,0.00433784,0.352675,0.998122,59.7704,
mean_2d,8192,512,ct_b,100,509.66,402.74,1770.69,2683.09,1.54744,0.754317,0.0185113,0.00282812,0.223475,0.99879,61.7241,
mean_2d,8192,1024,cpu,100,120.671,618.654,1419.48,2158.81,1.00084,0.935722,0,0,0,1,inf,
mean_2d,8192,1024,gpu,100,725.947,422.586,1491.9,2640.44,1.46327,0.764162,0,0,0,1,inf,
mean_2d,8192,1024,cgt_s,100,1204.08,487.068,2026.86,3718.01,1.34675,0.55315,0.013505,0.00282872,0.276792,0.999369,64.4629,
